G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,Season,Hitter ID,Team,is_sub_row,Last Team,WAR
1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,255.0,0.0,0.0,-0.3969037001645698,-0.0337,0,2,BP,S1,58,MIN,True,MIN,-0.032515370016456976
2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,1.0,307.0,0.0,0.0,-0.9610802368239438,-0.12259999999999999,2,2,BC,S1,74,ARI,False,ARI,-0.08534552368239438
3,8,7,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,1,1,0,0.0,0.125,0.0,0.125,0.0,0.0,,0.0,0.375,0.125,0.5,0.5,1.0,326.75,0.125,0.0,-1.2030488980059006,-0.05620000000000001,2,2,BP,S1,93,NYM,False,NYM,-0.09160488980059008
5,13,13,3,1,2,0,1,0,5,2,0,0,5,2,0,0,0,0,0,0,2,3,0,0,0.23076923076923078,0.23076923076923078,0.38461538461538464,0.6153846153846154,0.15384615384615385,0.375,,0.0,0.38461538461538464,0.0,0.4,0.6,0.6666666666666666,246.45454545454547,0.23076923076923078,0.38461538461538464,-0.7960218709218287,-0.3278,2,3,BC,S1,100,DET,False,DET,-0.03296468709218288
6,17,15,3,2,1,1,0,1,7,2,2,0,2,1,0,0,0,0,0,0,7,2,1,0,0.2,0.29411764705882354,0.4666666666666667,0.7607843137254902,0.26666666666666666,0.16666666666666666,,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.7,0.3,2.3333333333333335,297.0625,0.29411764705882354,0.4666666666666667,0.7371704733993931,0.1023,7,3,BC,S1,101,DET,False,DET,0.1347045473399393
7,18,17,6,2,4,0,0,2,12,6,1,0,1,0,0,0,0,0,0,0,5,4,1,0,0.35294117647058826,0.3888888888888889,0.7058823529411765,1.0947712418300655,0.35294117647058826,0.2857142857142857,,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.5,0.5,1.0,228.0,0.3888888888888889,0.7058823529411765,3.885579175727522,0.5478,5,5,BC,S1,103,DET,False,DET,0.4531329175727522
7,18,15,4,5,2,0,0,2,10,2,3,0,4,0,0,0,0,0,0,0,3,2,2,0,0.26666666666666666,0.3888888888888889,0.6666666666666666,1.0555555555555556,0.39999999999999997,0.2222222222222222,,0.1111111111111111,0.2222222222222222,0.16666666666666666,0.42857142857142855,0.5714285714285714,0.75,249.16666666666666,0.3888888888888889,0.6666666666666666,0.05624969542866637,-0.15040000000000003,3,4,BN,S1,104,DET,False,DET,0.07019996954286663
6,15,14,4,0,4,0,0,0,4,1,1,0,3,1,0,0,0,0,1,0,5,1,1,0,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.6190476190476191,0.0,0.36363636363636365,,0.0,0.2,0.06666666666666667,0.75,0.25,3.0,278.92857142857144,0.3333333333333333,0.2857142857142857,-2.056275337717543,-0.29109999999999997,6,2,BC,S1,106,DET,False,DET,-0.15181503377175432
6,18,16,4,3,1,0,1,2,12,4,1,0,4,0,0,0,0,1,1,0,1,7,1,0,0.25,0.2777777777777778,0.75,1.0277777777777777,0.5,0.18181818181818182,,0.1111111111111111,0.2222222222222222,0.05555555555555555,0.18181818181818182,0.8181818181818182,0.2222222222222222,214.94444444444446,0.2777777777777778,0.75,0.7916220519617433,0.059599999999999986,2,9,BP,S1,107,DET,False,DET,0.14373720519617433
3,9,9,2,0,0,2,0,0,4,2,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.2222222222222222,0.5,,0.0,0.5555555555555556,0.0,0.5,0.5,1.0,268.6666666666667,0.2222222222222222,0.4444444444444444,-0.19683556104552927,0.28269999999999995,1,1,BP,S1,112,HOU,False,HOU,0.01260394389544707
7,22,20,8,4,7,1,0,0,9,2,2,0,1,0,0,0,0,0,1,0,5,5,1,0,0.4,0.45454545454545453,0.45,0.9045454545454545,0.04999999999999999,0.42105263157894735,,0.0,0.045454545454545456,0.09090909090909091,0.5,0.5,1.0,226.54545454545453,0.45454545454545453,0.45,-0.008504363459155173,0.2454,6,6,BC,S1,115,DET,False,DET,0.07807456365408447
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,168.0,0.0,0.0,-0.20125152625152626,-0.0068000000000000005,0,1,BN,S1,120,MIN,False,MIN,-0.016537652625152627
1,4,4,2,1,1,0,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,0.5,1.0,,0.0,0.5,0.0,,,,164.0,0.5,1.0,-0.0010564187909725409,0.1193,0,0,BC,S1,122,HOU,False,HOU,0.014244358120902745
7,23,21,5,1,2,2,0,1,10,3,1,0,1,0,0,1,0,1,2,0,8,5,3,0,0.23809523809523808,0.2608695652173913,0.47619047619047616,0.7370600414078674,0.23809523809523808,0.2,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.5263157894736842,0.47368421052631576,1.1111111111111112,282.1666666666667,0.2608695652173913,0.47619047619047616,-0.1754422630378315,-0.4251,10,9,BC,S1,125,HOU,False,HOU,0.06496827369621684
7,20,20,6,3,5,1,0,0,7,2,0,0,3,0,0,0,0,0,0,0,6,5,0,0,0.3,0.3,0.35,0.6499999999999999,0.04999999999999999,0.35294117647058826,,0.0,0.15,0.0,0.5454545454545454,0.45454545454545453,1.2,259.1,0.3,0.35,-2.7247177165747547,-0.34369999999999995,6,5,BN,S1,133,ARI,False,ARI,-0.20072177165747548
2,4,4,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0.5,1.0,0.0,0.6666666666666666,,0.0,0.25,0.0,1.0,0.0,,240.0,0.5,0.5,0.17275336690629045,-0.0379,1,0,BC,S1,147,BAL,False,BAL,0.031625336690629044
7,17,17,3,1,1,2,0,0,5,0,0,0,2,0,0,0,0,0,2,0,7,4,1,0,0.17647058823529413,0.17647058823529413,0.29411764705882354,0.47058823529411764,0.11764705882352941,0.2,,0.0,0.11764705882352941,0.0,0.6428571428571429,0.35714285714285715,1.8,296.8235294117647,0.17647058823529413,0.29411764705882354,-3.6631128216056204,-0.5631,9,5,BC,S1,151,BAL,False,BAL,-0.305323782160562
7,20,20,2,1,1,1,0,0,3,0,0,0,5,0,0,0,0,0,3,0,6,6,1,0,0.1,0.1,0.15,0.25,0.04999999999999999,0.13333333333333333,,0.0,0.25,0.0,0.5625,0.4375,1.2857142857142858,291.9,0.1,0.15,-6.14158972110597,-1.0937,9,7,BP,S1,158,BAL,False,BAL,-0.542408972110597
7,21,19,5,0,4,1,0,0,6,0,2,0,1,0,0,0,0,0,2,0,8,5,0,0,0.2631578947368421,0.3333333333333333,0.3157894736842105,0.6491228070175439,0.05263157894736842,0.2777777777777778,,0.0,0.047619047619047616,0.09523809523809523,0.6666666666666666,0.3333333333333333,2.0,262.6666666666667,0.3333333333333333,0.3157894736842105,-1.8349876127099356,-0.07920000000000002,10,5,BC,S1,162,BAL,False,BAL,-0.10816126127099357
4,9,9,2,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.0,0.25,,0.0,0.1111111111111111,0.0,0.16666666666666666,0.8333333333333334,0.2,233.55555555555554,0.2222222222222222,0.2222222222222222,1.2787526038929997,-0.051899999999999995,1,5,BC,S1,167,2TM,False,MIN,0.16016276038929997
3,8,8,2,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0.25,0.25,0.25,0.5,0.0,0.2857142857142857,,0.0,0.125,0.0,0.2,0.8,0.25,227.875,0.25,0.25,1.6376509089777453,0.048499999999999995,1,4,BC,S1,167,PHI,True,PHI,0.19246509089777453
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,279.0,0.0,0.0,-0.35889830508474563,-0.10039999999999999,0,1,BC,S1,167,MIN,True,MIN,-0.032302330508474565
4,11,9,2,4,0,0,1,1,7,1,2,0,2,0,0,0,0,0,0,0,1,2,2,0,0.2222222222222222,0.36363636363636365,0.7777777777777778,1.1414141414141414,0.5555555555555556,0.16666666666666666,,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.2,0.8,0.25,243.27272727272728,0.36363636363636365,0.7777777777777778,0.7661122614902305,0.1277,1,4,BN,S1,168,NYM,False,NYM,0.11607372614902305
7,21,18,4,2,2,0,1,1,9,1,3,0,3,0,0,0,0,0,2,0,7,4,0,0,0.2222222222222222,0.3333333333333333,0.5,0.8333333333333333,0.2777777777777778,0.21428571428571427,,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.6923076923076923,0.3076923076923077,2.25,263.0952380952381,0.3333333333333333,0.5,-1.3002904483927131,-0.3098999999999999,9,4,BC,S1,171,BAL,False,BAL,-0.05469154483927132
7,22,19,7,6,4,1,0,2,14,3,3,0,2,0,0,0,0,0,1,0,3,5,2,0,0.3684210526315789,0.45454545454545453,0.7368421052631579,1.1913875598086123,0.3684210526315789,0.3333333333333333,,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.36363636363636365,0.6363636363636364,0.5714285714285714,222.77272727272728,0.45454545454545453,0.7368421052631579,2.0131318597106245,0.2718999999999999,4,7,BC,S1,190,TOR,False,TOR,0.2802381859710624
4,9,5,1,1,1,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0.2,0.5555555555555556,0.2,0.7555555555555555,0.0,0.25,,0.0,0.1111111111111111,0.4444444444444444,0.6666666666666666,0.3333333333333333,2.0,241.0,0.5555555555555556,0.2,-0.44691626797945827,0.02370000000000001,2,1,BN,S1,199,ATL,False,ATL,-0.01240412679794583
7,19,17,4,2,4,0,0,0,4,1,2,0,7,0,0,0,0,0,0,0,3,2,1,0,0.23529411764705882,0.3157894736842105,0.23529411764705882,0.5510835913312693,0.0,0.4,,0.0,0.3684210526315789,0.10526315789473684,0.5,0.5,1.0,263.2631578947368,0.3157894736842105,0.23529411764705882,0.3476876696327221,0.0649,3,3,BP,S1,206,2TM,False,PHI,0.10293126696327219
6,16,14,4,2,4,0,0,0,4,1,2,0,4,0,0,0,0,0,0,0,3,2,1,0,0.2857142857142857,0.375,0.2857142857142857,0.6607142857142857,0.0,0.4,,0.0,0.25,0.125,0.5,0.5,1.0,246.0,0.375,0.2857142857142857,0.6614027257876184,0.1501,3,3,BP,S1,206,ATL,True,ATL,0.12354027257876184
1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,355.3333333333333,0.0,0.0,-0.3137150561548963,-0.08520000000000001,0,0,BP,S1,206,PHI,True,PHI,-0.02060900561548963
7,12,11,2,1,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,3,5,0,0,0.18181818181818182,0.25,0.18181818181818182,0.4318181818181818,0.0,0.2,,0.0,0.08333333333333333,0.08333333333333333,0.375,0.625,0.6,268.5,0.25,0.18181818181818182,-1.6567657289688045,-0.1076,3,5,BC,S1,213,MIN,False,MIN,-0.12262657289688046
6,17,14,3,2,2,0,0,1,6,1,3,0,8,0,0,0,0,0,1,0,1,2,0,0,0.21428571428571427,0.35294117647058826,0.42857142857142855,0.7815126050420168,0.21428571428571427,0.4,,0.058823529411764705,0.47058823529411764,0.17647058823529413,0.5,0.5,1.0,253.125,0.35294117647058826,0.42857142857142855,-0.04298199119817059,-0.018999999999999975,2,2,BP,S1,222,DET,False,DET,0.05668930088018294
7,17,17,2,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,4,0,8,6,1,0,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.29411764705882354,0.05882352941176472,0.11764705882352941,,0.0,0.0,0.0,0.631578947368421,0.3684210526315789,1.7142857142857142,320.3529411764706,0.11764705882352941,0.17647058823529413,-4.9401070023560045,-0.7305,12,7,BN,S1,224,2TM,False,ATL,-0.4330232002356005
