G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,Team,is_sub_row,Last Team,WAR
11,31,27,3,1,0,2,1,0,7,1,4,0,6,0,0,1,0,0,0,3,5,6,4,0,0.1111111111111111,0.22580645161290322,0.25925925925925924,0.48506571087216244,0.14814814814814814,0.14285714285714285,0.0,0.0,0.1935483870967742,0.12903225806451613,0.4444444444444444,0.5555555555555556,0.8,282.6875,0.1935483870967742,0.27586206896551724,-3.953234121187685,-0.5649,8,10,WC,31.0,29.0,4.0,8,2.0,0.0,0.0,S6,335,CIN,False,CIN,-0.27259065280437245
2,5,4,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,2,0,0,0.0,0.2,0.0,0.2,0.0,0.0,1.0,0.0,0.2,0.2,0.3333333333333333,0.6666666666666666,0.5,252.5,0.0,0.0,-0.6276623716297056,-0.0836,1,2,BN,5.0,5.0,0.0,0,0.0,0.0,0.0,S6,338,SFG,False,SFG,-0.042970630821938936
16,50,45,15,11,5,2,1,7,40,11,5,1,12,0,0,0,0,0,2,4,3,7,4,0,0.3333333333333333,0.4,0.8888888888888888,1.2888888888888888,0.5555555555555556,0.3076923076923077,,0.14,0.24,0.1,0.45,0.55,0.8181818181818182,211.55102040816325,0.4,0.8837209302325582,5.5005063991787715,0.5957000000000001,9,11,HK,50.0,43.0,13.0,38,7.0,0.0,0.0,S6,339,CIN,False,CIN,0.7480067033281934
9,22,21,8,5,1,3,0,4,23,10,1,0,5,0,0,0,0,0,0,2,0,2,4,0,0.38095238095238093,0.4090909090909091,1.0952380952380953,1.5043290043290045,0.7142857142857144,0.3333333333333333,,0.18181818181818182,0.22727272727272727,0.045454545454545456,0.25,0.75,0.3333333333333333,199.04545454545453,0.36363636363636365,1.0476190476190477,6.534662744343979,0.7993,2,6,XB,22.0,21.0,7.0,22,1.0,0.0,0.0,S6,340,LAD,False,LAD,0.7405669423349371
11,25,21,5,6,5,0,0,0,5,1,4,0,2,0,2,0,0,0,1,1,9,3,1,0,0.23809523809523808,0.36,0.23809523809523808,0.598095238095238,0.0,0.2631578947368421,1.0,0.0,0.08,0.16,0.7333333333333333,0.26666666666666666,2.75,284.7692307692308,0.32,0.3181818181818182,-1.6163133966971277,-0.2082,11,4,1B,25.0,22.0,5.0,7,3.0,0.0,0.0,S6,344,TOR,False,TOR,-0.06265330796455465
15,45,39,12,4,7,5,0,0,17,3,6,0,3,0,2,0,0,0,0,4,2,9,9,0,0.3076923076923077,0.4,0.4358974358974359,0.8358974358974359,0.1282051282051282,0.3333333333333333,1.0,0.0,0.06666666666666667,0.13333333333333333,0.25,0.75,0.3333333333333333,228.61702127659575,0.4,0.4358974358974359,1.2098877969676178,0.1811,6,18,WC,45.0,39.0,12.0,17,6.0,0.0,0.0,S6,349,TBR,False,TBR,0.2991492367660464
11,31,27,6,3,4,1,1,0,9,1,4,0,6,0,0,0,0,0,4,2,5,5,3,0,0.2222222222222222,0.3225806451612903,0.3333333333333333,0.6559139784946236,0.1111111111111111,0.2857142857142857,,0.0,0.1935483870967742,0.12903225806451613,0.5789473684210527,0.42105263157894735,1.375,266.0,0.2903225806451613,0.4482758620689655,-3.1321416603765924,-0.05439999999999989,11,8,BC,31.0,29.0,7.0,13,2.0,0.0,0.0,S6,350,STL,False,STL,-0.19048140672326316
14,39,38,10,4,4,3,0,3,22,9,1,0,1,0,0,0,0,0,1,9,9,4,5,0,0.2631578947368421,0.28205128205128205,0.5789473684210527,0.8609986504723347,0.31578947368421056,0.20588235294117646,,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.6785714285714286,0.32142857142857145,2.111111111111111,258.4871794871795,0.28205128205128205,0.5789473684210527,1.9050393725946637,0.5919000000000001,19,9,MH,39.0,38.0,10.0,22,1.0,0.0,0.0,S6,354,TOR,False,TOR,0.344909666719513
13,39,37,15,8,6,3,1,5,35,12,2,0,6,0,0,0,0,0,1,2,3,8,3,0,0.40540540540540543,0.4358974358974359,0.9459459459459459,1.3818433818433817,0.5405405405405406,0.38461538461538464,,0.1282051282051282,0.15384615384615385,0.05128205128205128,0.35294117647058826,0.6470588235294118,0.5454545454545454,201.92307692307693,0.46153846153846156,0.9705882352941176,9.091661421791887,1.1121999999999999,6,11,1B,39.0,34.0,13.0,33,5.0,0.0,0.0,S6,357,STL,False,STL,1.0635718716392355
15,42,37,7,5,3,1,0,3,17,7,5,0,7,0,0,0,0,0,2,3,6,10,4,0,0.1891891891891892,0.2857142857142857,0.4594594594594595,0.7451737451737452,0.2702702702702703,0.14814814814814814,,0.07142857142857142,0.16666666666666666,0.11904761904761904,0.44,0.56,0.7857142857142857,266.7857142857143,0.2857142857142857,0.4444444444444444,-2.3917391255653184,-0.21229999999999988,11,14,WC,42.0,36.0,6.0,16,6.0,0.0,0.0,S6,360,STL,False,STL,-0.07289081929186621
14,36,31,10,8,5,2,1,2,20,5,5,0,4,0,0,0,0,0,2,1,4,8,4,0,0.3225806451612903,0.4166666666666667,0.6451612903225806,1.0618279569892473,0.3225806451612903,0.32,,0.05555555555555555,0.1111111111111111,0.1388888888888889,0.3684210526315789,0.631578947368421,0.5833333333333334,235.77142857142857,0.3888888888888889,0.625,0.8896023849525763,0.2367999999999999,7,12,BC,36.0,32.0,10.0,20,4.0,0.0,0.0,S6,362,KCR,False,KCR,0.2314886041506853
3,3,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.6666666666666666,0.0,1.0,0.0,,397.0,0.0,0.0,-0.6375129219791427,-0.06770000000000001,1,0,1B,3.0,3.0,0.0,0,0.0,0.0,0.0,S6,363,MTL,False,MTL,-0.0518739283932953
12,30,29,6,4,3,1,0,2,13,7,0,0,5,0,0,0,0,1,2,0,4,7,8,0,0.20689655172413793,0.2,0.4482758620689655,0.6482758620689655,0.2413793103448276,0.17391304347826086,,0.06666666666666667,0.16666666666666666,0.0,0.2727272727272727,0.7272727272727273,0.375,274.3333333333333,0.2,0.41379310344827586,-1.9418448443910443,-0.13570000000000002,6,16,BP,30.0,29.0,6.0,12,0.0,1.0,0.0,S6,369,STL,False,STL,-0.07541084639291469
13,35,29,6,5,4,0,0,2,12,5,5,0,5,0,0,0,0,1,0,4,5,8,2,0,0.20689655172413793,0.3142857142857143,0.41379310344827586,0.7280788177339901,0.20689655172413793,0.17391304347826086,,0.05714285714285714,0.14285714285714285,0.14285714285714285,0.45,0.55,0.8181818181818182,262.0857142857143,0.22857142857142856,0.36666666666666664,-0.4910132096810521,-0.36219999999999997,9,11,1B,35.0,30.0,4.0,11,4.0,1.0,0.0,S6,377,CHC,False,CHC,0.08946792341911615
13,30,25,8,5,6,2,0,0,10,4,5,1,3,0,6,0,0,0,0,4,4,5,1,0,0.32,0.43333333333333335,0.4,0.8333333333333334,0.08000000000000002,0.36363636363636365,1.0,0.0,0.1,0.16666666666666666,0.5714285714285714,0.42857142857142855,1.3333333333333333,231.45714285714286,0.36666666666666664,0.44,1.8421655604738871,0.30340000000000006,8,6,1B,30.0,25.0,7.0,11,4.0,1.0,0.0,S6,379,BAL,False,BAL,0.30299019409357847
14,35,31,8,4,7,1,0,0,9,2,4,0,4,0,0,0,0,0,0,1,7,7,4,0,0.25806451612903225,0.34285714285714286,0.2903225806451613,0.6331797235023042,0.03225806451612906,0.2962962962962963,,0.0,0.11428571428571428,0.11428571428571428,0.42105263157894735,0.5789473684210527,0.7272727272727273,258.54285714285714,0.2857142857142857,0.35294117647058826,-1.3399085256997072,-0.20529999999999998,8,11,1B,35.0,34.0,9.0,12,1.0,0.0,0.0,S6,381,STL,False,STL,0.004578391817250638
13,37,31,13,9,6,1,1,5,31,13,6,0,4,0,2,1,0,0,1,4,4,3,3,0,0.41935483870967744,0.5135135135135135,1.0,1.5135135135135136,0.5806451612903225,0.36363636363636365,0.6666666666666666,0.13513513513513514,0.10810810810810811,0.16216216216216217,0.6,0.4,1.5,224.775,0.43243243243243246,0.9117647058823529,8.18858280168192,0.6767,9,6,BP,37.0,34.0,13.0,31,3.0,0.0,0.0,S6,386,SEA,False,SEA,0.965345767091826
